Value,Percentile,TotalCount,1/(1-Percentile)
1.000,0.000000,144,1.00
1.000,0.100000,144,1.11
1.000,0.200000,144,1.25
1.000,0.300000,144,1.43
2.000,0.400000,176,1.67
3.000,0.500000,249,2.00
3.000,0.550000,249,2.22
3.000,0.600000,249,2.50
4.000,0.650000,290,2.86
4.000,0.700000,290,3.33
5.000,0.750000,319,4.00
5.000,0.775000,319,4.44
7.000,0.800000,337,5.00
8.000,0.825000,350,5.71
8.000,0.850000,350,6.67
14.000,0.875000,363,8.00
15.000,0.887500,365,8.89
26.000,0.900000,370,10.00
42.000,0.912500,376,11.43
62.000,0.925000,381,13.33
68.000,0.937500,386,16.00
122.000,0.943750,388,17.78
145.000,0.950000,391,20.00
160.000,0.956250,394,22.86
165.000,0.962500,396,26.67
173.000,0.968750,399,32.00
174.000,0.971875,400,35.56
181.000,0.975000,401,40.00
203.000,0.978125,403,45.71
237.000,0.981250,404,53.33
257.000,0.984375,405,64.00
264.000,0.985938,406,71.11
264.000,0.987500,406,80.00
301.000,0.989062,407,91.43
308.000,0.990625,408,106.67
308.000,0.992188,408,128.00
412.000,0.992969,409,142.22
412.000,0.993750,409,160.00
412.000,0.994531,409,182.86
452.000,0.995313,410,213.33
452.000,0.996094,410,256.00
452.000,0.996484,410,284.44
452.000,0.996875,410,320.00
452.000,0.997266,410,365.71
1504.000,0.997656,411,426.67
1504.000,1.000000,411,inf
